Word	PER	ORG	LOC	OTH	Rule1	Rule2	Rule3
Veruntreute	false	false	false	false			
die	false	false	false	false			
AWO	false	true	false	false	Org_Rules.txt11	Loc_Rules.txt11	
Spendengeld	false	false	false	false			
Staatsanwaltschaft	false	false	false	false			
muß	false	false	false	false			
AWO-Konten	false	false	false	false			
prüfen	false	false	false	false			
Flossen	false	false	false	false			
165.000	false	false	false	false			
Mark	false	false	false	false	Per_Rules.txt0	Org_Rules.txt0	Loc_Rules.txt0
Sammelgelder	false	false	false	false	Per_Rules.txt0	Org_Rules.txt0	Loc_Rules.txt0
für	false	false	false	false			
Flutopfer	false	false	false	false			
in	false	false	false	false			
ein	false	false	false	false			
Altenheim	false	false	false	false			
in	false	false	false	false			
Danzig	false	false	true	false	Loc_Rules.txt16		
Landesvorsitzende	false	false	false	false			
Ute	true	false	false	false	Per_Rules.txt1	Org_Rules.txt1	Loc_Rules.txt1
Wedemeier	true	false	false	false	Per_Rules.txt1	Org_Rules.txt1	Loc_Rules.txt1
Ein	false	false	false	false			
Buchungsfehler	false	false	false	false			
Im	false	false	false	false			
Januar	false	false	false	false			
hat	false	false	false	false			
die	false	false	false	false			
Arbeiterwohlfahrt	false	false	false	false			
Bremen	false	false	true	false	Loc_Rules.txt13		
ihren	false	false	false	false			
langjährigen	false	false	false	false			
Geschäftsführer	false	false	false	false			
Hans	true	false	false	false	Per_Rules.txt1	Org_Rules.txt1	Loc_Rules.txt1
Taake	true	false	false	false	Per_Rules.txt1	Org_Rules.txt1	Loc_Rules.txt1
fristlos	false	false	false	false			
entlassen	false	false	false	false			
nun	false	false	false	false			
wird	false	false	false	false			
auch	false	false	false	false			
der	false	false	false	false			
Vorstand	false	false	false	false			
der	false	false	false	false			
Wohlfahrtsorganisation	false	false	false	false			
in	false	false	false	false			
den	false	false	false	false			
Fall	false	false	false	false			
hineingezogen	false	false	false	false			
In	false	false	false	false			
einer	false	false	false	false			
anonymen	false	false	false	false			
Anzeige	false	false	false	false			
werden	false	false	false	false			
der	false	false	false	false			
Bremer	false	false	false	false			
Staatsanwaltschaft	false	false	false	false			
Details	false	false	false	false			
über	false	false	false	false			
dubiose	false	false	false	false			
finanzielle	false	false	false	false			
Transaktionen	false	false	false	false			
mitgeteilt	false	false	false	false			
Verantwortlich	false	false	false	false			
so	false	false	false	false			
das	false	false	false	false			
Schreiben	false	false	false	false			
einer	false	false	false	false			
Mitarbeiterin	false	false	false	false			
der	false	false	false	false			
AWO	false	true	false	false	Org_Rules.txt11	Loc_Rules.txt11	
sei	false	false	false	false			
die	false	false	false	false			
Landesvorsitzende	false	false	false	false			
Uter	false	false	false	false			
